spieltag,team_H,team_A,goal_H,goal_A,goal_H_HT,goal_A_HT
"
                    24. Spieltag
                ",Borussia Dortmund ,VfB Stuttgart ,2,1,3,1
"
                    24. Spieltag
                ",1. FC Kaiserslautern ,1. FC Nürnberg ,3,0,3,1
"
                    24. Spieltag
                ",1860 München ,Preußen Münster ,0,1,2,2
"
                    24. Spieltag
                ",Karlsruher SC ,1. FC Saarbrücken ,0,2,1,0
"
                    24. Spieltag
                ",Werder Bremen ,FC Schalke 04 ,1,0,4,0
"
                    25. Spieltag
                ",Eintracht Frankfurt ,Hertha BSC ,0,0,4,1
"
                    25. Spieltag
                ",1. FC Köln ,Eintracht Braunschweig ,1,0,3,3
"
                    25. Spieltag
                ",Hamburger SV ,Meidericher SV ,0,1,4,0
"
                    25. Spieltag
                ",VfB Stuttgart ,1. FC Kaiserslautern ,2,0,4,0
"
                    25. Spieltag
                ",1. FC Nürnberg ,Borussia Dortmund ,2,0,1,2
"
                    25. Spieltag
                ",1. FC Saarbrücken ,1860 München ,0,1,0,0
"
                    25. Spieltag
                ",Preußen Münster ,Karlsruher SC ,0,0,1,2
"
                    25. Spieltag
                ",FC Schalke 04 ,Eintracht Frankfurt ,0,0,5,2
"
                    26. Spieltag
                ",Hertha BSC ,Werder Bremen ,2,1,5,1
"
                    26. Spieltag
                ",Meidericher SV ,Eintracht Braunschweig ,3,1,1,1
"
                    26. Spieltag
                ",Hamburger SV ,1. FC Köln ,1,0,0,0
"
                    26. Spieltag
                ",1. FC Nürnberg ,VfB Stuttgart ,0,0,0,1
"
                    26. Spieltag
                ",1. FC Kaiserslautern ,Borussia Dortmund ,0,1,1,0
"
                    26. Spieltag
                ",Karlsruher SC ,1860 München ,1,0,2,1
"
                    26. Spieltag
                ",Preußen Münster ,1. FC Saarbrücken ,1,1,1,0
"
                    26. Spieltag
                ",Hertha BSC ,FC Schalke 04 ,1,0,7,0
"
                    27. Spieltag
                ",Eintracht Frankfurt ,Werder Bremen ,2,0,2,2
"
                    27. Spieltag
                ",VfB Stuttgart ,Hamburger SV ,1,1,0,0
"
                    27. Spieltag
                ",Borussia Dortmund ,Meidericher SV ,0,0,0,1
"
                    27. Spieltag
                ",Eintracht Braunschweig ,1. FC Kaiserslautern ,0,1,5,0
"
                    27. Spieltag
                ",1. FC Köln ,1. FC Nürnberg ,2,0,1,2
"
                    27. Spieltag
                ",FC Schalke 04 ,Preußen Münster ,0,1,0,0
"
                    27. Spieltag
                ",Werder Bremen ,Karlsruher SC ,0,0,1,1
"
                    27. Spieltag
                ",1860 München ,Eintracht Frankfurt ,0,0,3,0
"
                    28. Spieltag
                ",1. FC Saarbrücken ,Hertha BSC ,3,0,7,3
"
                    28. Spieltag
                ",Hamburger SV ,1. FC Kaiserslautern ,1,0,2,0
"
                    28. Spieltag
                ",Eintracht Braunschweig ,VfB Stuttgart ,2,0,0,0
"
                    28. Spieltag
                ",Meidericher SV ,1. FC Nürnberg ,0,0,5,2
"
                    28. Spieltag
                ",1. FC Köln ,Borussia Dortmund ,1,1,1,3
"
                    28. Spieltag
                ",Preußen Münster ,Eintracht Frankfurt ,1,2,7,1
"
                    28. Spieltag
                ",1860 München ,FC Schalke 04 ,3,1,1,1
"
                    28. Spieltag
                ",Karlsruher SC ,Hertha BSC ,0,0,3,2
"
                    29. Spieltag
                ",1. FC Saarbrücken ,Werder Bremen ,1,0,1,0
"
                    29. Spieltag
                ",1. FC Nürnberg ,Eintracht Braunschweig ,0,0,3,3
"
                    29. Spieltag
                ",1. FC Kaiserslautern ,1. FC Köln ,2,3,1,2
"
                    29. Spieltag
                ",VfB Stuttgart ,Meidericher SV ,1,2,3,1
"
                    29. Spieltag
                ",Hertha BSC ,1860 München ,1,1,4,2
"
                    29. Spieltag
                ",Werder Bremen ,Preußen Münster ,2,1,3,1
"
                    29. Spieltag
                ",Eintracht Frankfurt ,1. FC Saarbrücken ,3,1,2,1
"
                    29. Spieltag
                ",FC Schalke 04 ,Karlsruher SC ,0,1,5,2
"
                    30. Spieltag
                ",Borussia Dortmund ,Hamburger SV ,2,0,3,0
"
                    30. Spieltag
                ",Meidericher SV ,1. FC Kaiserslautern ,1,0,2,1
"
                    30. Spieltag
                ",1. FC Köln ,VfB Stuttgart ,0,1,2,2
"
                    30. Spieltag
                ",Hamburger SV ,1. FC Nürnberg ,1,1,2,0
"
                    30. Spieltag
                ",Eintracht Braunschweig ,Borussia Dortmund ,0,0,1,2
"
                    30. Spieltag
                ",Karlsruher SC ,Eintracht Frankfurt ,0,1,1,1
"
                    30. Spieltag
                ",1. FC Saarbrücken ,FC Schalke 04 ,1,0,4,2
"
                    30. Spieltag
                ",Preußen Münster ,Hertha BSC ,2,2,3,2
